Row ID,Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
1,Jul,2013,FY13-14,07/01/2013,108,"1,606"
2,Jul,2013,FY13-14,07/01/2013,112,"35,972"
3,Jul,2013,FY13-14,07/01/2013,120,"8,907"
4,Jul,2013,FY13-14,07/01/2013,128,"8,924"
5,Jul,2013,FY13-14,07/01/2013,136,"12,722"
6,Jul,2013,FY13-14,07/01/2013,156,"1,110"
7,Jul,2013,FY13-14,07/01/2013,184,"9,176"
8,Jul,2013,FY13-14,07/01/2013,30,"40,572"
9,Jul,2013,FY13-14,07/01/2013,40,"50,426"
10,Jul,2013,FY13-14,07/01/2013,45,"41,601"
11,Jul,2013,FY13-14,07/01/2013,531,"1,250"
12,Jul,2013,FY13-14,07/01/2013,533,"5,572"
13,Jul,2013,FY13-14,07/01/2013,541,"1,211"
14,Jul,2013,FY13-14,07/01/2013,61,"61,539"
15,Jul,2013,FY13-14,07/01/2013,77,"4,194"
16,Jul,2013,FY13-14,07/01/2013,96,"43,551"
17,Jul,2013,FY13-14,07/01/2013,AZ Ave Link,"20,314"
18,Jul,2013,FY13-14,07/01/2013,Main St Link,"29,688"
19,Aug,2013,FY13-14,08/01/2013,104,"22,326"
20,Aug,2013,FY13-14,08/01/2013,108,"2,615"
21,Aug,2013,FY13-14,08/01/2013,112,"29,217"
22,Aug,2013,FY13-14,08/01/2013,120,"9,309"
23,Aug,2013,FY13-14,08/01/2013,128,"8,816"
24,Aug,2013,FY13-14,08/01/2013,136,"12,692"
25,Aug,2013,FY13-14,08/01/2013,156,"1,677"
26,Aug,2013,FY13-14,08/01/2013,184,"9,787"
27,Aug,2013,FY13-14,08/01/2013,30,"37,284"
28,Aug,2013,FY13-14,08/01/2013,40,"41,233"
29,Aug,2013,FY13-14,08/01/2013,45,"39,990"
30,Aug,2013,FY13-14,08/01/2013,531,"1,120"
31,Aug,2013,FY13-14,08/01/2013,533,"4,919"
32,Aug,2013,FY13-14,08/01/2013,535,"3,279"
33,Aug,2013,FY13-14,08/01/2013,541,"1,051"
34,Aug,2013,FY13-14,08/01/2013,61,"56,151"
35,Aug,2013,FY13-14,08/01/2013,77,"4,134"
36,Aug,2013,FY13-14,08/01/2013,96,"39,209"
37,Aug,2013,FY13-14,08/01/2013,AZ Ave Link,"19,490"
38,Aug,2013,FY13-14,08/01/2013,Buzz,"9,112"
39,Aug,2013,FY13-14,08/01/2013,Main St Link,"25,455"
40,Sep,2013,FY13-14,09/01/2013,104,"23,642"
41,Sep,2013,FY13-14,09/01/2013,108,"2,959"
42,Sep,2013,FY13-14,09/01/2013,112,"34,791"
43,Sep,2013,FY13-14,09/01/2013,120,"10,122"
44,Sep,2013,FY13-14,09/01/2013,128,"9,559"
45,Sep,2013,FY13-14,09/01/2013,136,"13,502"
46,Sep,2013,FY13-14,09/01/2013,156,"2,485"
47,Sep,2013,FY13-14,09/01/2013,184,"11,290"
48,Sep,2013,FY13-14,09/01/2013,30,"37,123"
49,Sep,2013,FY13-14,09/01/2013,40,"45,557"
50,Sep,2013,FY13-14,09/01/2013,45,"43,362"
51,Sep,2013,FY13-14,09/01/2013,531,"1,068"
52,Sep,2013,FY13-14,09/01/2013,533,"5,359"
