"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US04013010102","Census Tract 101.02; Maricopa County; Arizona","6265","929",
"1400000US04013010103","Census Tract 101.03; Maricopa County; Arizona","3681","487",
"1400000US04013010104","Census Tract 101.04; Maricopa County; Arizona","3131","507",
"1400000US04013030401","Census Tract 304.01; Maricopa County; Arizona","4744","446",
"1400000US04013030402","Census Tract 304.02; Maricopa County; Arizona","4153","340",
"1400000US04013040502","Census Tract 405.02; Maricopa County; Arizona","4369","419",
"1400000US04013040506","Census Tract 405.06; Maricopa County; Arizona","5543","587",
"1400000US04013040507","Census Tract 405.07; Maricopa County; Arizona","6551","528",
"1400000US04013040512","Census Tract 405.12; Maricopa County; Arizona","1580","170",
"1400000US04013040513","Census Tract 405.13; Maricopa County; Arizona","2787","318",
"1400000US04013040514","Census Tract 405.14; Maricopa County; Arizona","2949","229",
"1400000US04013040515","Census Tract 405.15; Maricopa County; Arizona","5080","718",
"1400000US04013040516","Census Tract 405.16; Maricopa County; Arizona","9360","1422",
"1400000US04013040522","Census Tract 405.22; Maricopa County; Arizona","4429","611",
"1400000US04013040523","Census Tract 405.23; Maricopa County; Arizona","3164","320",
"1400000US04013040524","Census Tract 405.24; Maricopa County; Arizona","1647","354",
"1400000US04013040525","Census Tract 405.25; Maricopa County; Arizona","2981","329",
"1400000US04013040526","Census Tract 405.26; Maricopa County; Arizona","2483","303",
"1400000US04013040527","Census Tract 405.27; Maricopa County; Arizona","4608","396",
"1400000US04013040528","Census Tract 405.28; Maricopa County; Arizona","5745","551",
"1400000US04013040529","Census Tract 405.29; Maricopa County; Arizona","3396","339",
"1400000US04013040530","Census Tract 405.30; Maricopa County; Arizona","3613","473",
"1400000US04013040531","Census Tract 405.31; Maricopa County; Arizona","3756","414",
"1400000US04013040532","Census Tract 405.32; Maricopa County; Arizona","7109","994",
"1400000US04013040533","Census Tract 405.33; Maricopa County; Arizona","2862","364",
"1400000US04013040534","Census Tract 405.34; Maricopa County; Arizona","3516","391",
"1400000US04013040535","Census Tract 405.35; Maricopa County; Arizona","6271","635",
"1400000US04013040536","Census Tract 405.36; Maricopa County; Arizona","6550","823",
"1400000US04013040537","Census Tract 405.37; Maricopa County; Arizona","2974","661",
"1400000US04013040538","Census Tract 405.38; Maricopa County; Arizona","5866","925",
"1400000US04013040539","Census Tract 405.39; Maricopa County; Arizona","7293","711",
"1400000US04013040540","Census Tract 405.40; Maricopa County; Arizona","6427","906",
"1400000US04013040541","Census Tract 405.41; Maricopa County; Arizona","5195","1097",
"1400000US04013050603","Census Tract 506.03; Maricopa County; Arizona","5727","1038",
"1400000US04013050604","Census Tract 506.04; Maricopa County; Arizona","3582","471",
"1400000US04013050609","Census Tract 506.09; Maricopa County; Arizona","5201","442",
"1400000US04013050611","Census Tract 506.11; Maricopa County; Arizona","6731","1184",
"1400000US04013050612","Census Tract 506.12; Maricopa County; Arizona","11852","2263",
"1400000US04013050613","Census Tract 506.13; Maricopa County; Arizona","5676","746",
"1400000US04013050614","Census Tract 506.14; Maricopa County; Arizona","4280","458",
"1400000US04013050615","Census Tract 506.15; Maricopa County; Arizona","5418","785",
"1400000US04013050616","Census Tract 506.16; Maricopa County; Arizona","2962","610",
"1400000US04013050617","Census Tract 506.17; Maricopa County; Arizona","5340","527",
"1400000US04013050618","Census Tract 506.18; Maricopa County; Arizona","8264","2339",
"1400000US04013050619","Census Tract 506.19; Maricopa County; Arizona","9275","1187",
"1400000US04013050620","Census Tract 506.20; Maricopa County; Arizona","8811","1001",
"1400000US04013050621","Census Tract 506.21; Maricopa County; Arizona","9303","964",
"1400000US04013050701","Census Tract 507.01; Maricopa County; Arizona","7666","993",
"1400000US04013050702","Census Tract 507.02; Maricopa County; Arizona","6554","953",
"1400000US04013060801","Census Tract 608.01; Maricopa County; Arizona","5274","912",
"1400000US04013060802","Census Tract 608.02; Maricopa County; Arizona","3198","313",
"1400000US04013060901","Census Tract 609.01; Maricopa County; Arizona","4595","548",
"1400000US04013060902","Census Tract 609.02; Maricopa County; Arizona","4023","692",
"1400000US04013060903","Census Tract 609.03; Maricopa County; Arizona","5507","884",
"1400000US04013060904","Census Tract 609.04; Maricopa County; Arizona","3981","416",
"1400000US04013061010","Census Tract 610.10; Maricopa County; Arizona","6263","274",
"1400000US04013061011","Census Tract 610.11; Maricopa County; Arizona","8745","1352",
"1400000US04013061013","Census Tract 610.13; Maricopa County; Arizona","7291","1364",
"1400000US04013061014","Census Tract 610.14; Maricopa County; Arizona","6114","626",
"1400000US04013061015","Census Tract 610.15; Maricopa County; Arizona","5621","798",
"1400000US04013061017","Census Tract 610.17; Maricopa County; Arizona","4722","669",
"1400000US04013061018","Census Tract 610.18; Maricopa County; Arizona","5540","592",
"1400000US04013061020","Census Tract 610.20; Maricopa County; Arizona","3538","333",
"1400000US04013061021","Census Tract 610.21; Maricopa County; Arizona","2103","367",
"1400000US04013061024","Census Tract 610.24; Maricopa County; Arizona","2531","331",
"1400000US04013061026","Census Tract 610.26; Maricopa County; Arizona","6659","797",
"1400000US04013061027","Census Tract 610.27; Maricopa County; Arizona","5928","1687",
"1400000US04013061028","Census Tract 610.28; Maricopa County; Arizona","3054","329",
"1400000US04013061029","Census Tract 610.29; Maricopa County; Arizona","4808","539",
"1400000US04013061031","Census Tract 610.31; Maricopa County; Arizona","8177","957",
"1400000US04013061032","Census Tract 610.32; Maricopa County; Arizona","6238","759",
"1400000US04013061033","Census Tract 610.33; Maricopa County; Arizona","5707","698",
"1400000US04013061034","Census Tract 610.34; Maricopa County; Arizona","8391","1354",
"1400000US04013061035","Census Tract 610.35; Maricopa County; Arizona","6997","860",
"1400000US04013061036","Census Tract 610.36; Maricopa County; Arizona","4830","528",
"1400000US04013061037","Census Tract 610.37; Maricopa County; Arizona","6398","573",
"1400000US04013061038","Census Tract 610.38; Maricopa County; Arizona","5162","1065",
"1400000US04013061039","Census Tract 610.39; Maricopa County; Arizona","6012","825",
"1400000US04013061040","Census Tract 610.40; Maricopa County; Arizona","4992","857",
"1400000US04013061041","Census Tract 610.41; Maricopa County; Arizona","4658","780",
"1400000US04013061042","Census Tract 610.42; Maricopa County; Arizona","2424","386",
"1400000US04013061043","Census Tract 610.43; Maricopa County; Arizona","2445","266",
"1400000US04013061044","Census Tract 610.44; Maricopa County; Arizona","9468","851",
"1400000US04013061045","Census Tract 610.45; Maricopa County; Arizona","8706","854",
"1400000US04013061046","Census Tract 610.46; Maricopa County; Arizona","6216","838",
"1400000US04013061047","Census Tract 610.47; Maricopa County; Arizona","4079","559",
"1400000US04013061048","Census Tract 610.48; Maricopa County; Arizona","4133","772",
"1400000US04013061049","Census Tract 610.49; Maricopa County; Arizona","5258","801",
"1400000US04013061050","Census Tract 610.50; Maricopa County; Arizona","6811","884",
"1400000US04013061051","Census Tract 610.51; Maricopa County; Arizona","4774","1360",
"1400000US04013061052","Census Tract 610.52; Maricopa County; Arizona","9156","1876",
"1400000US04013061053","Census Tract 610.53; Maricopa County; Arizona","8308","921",
"1400000US04013061054","Census Tract 610.54; Maricopa County; Arizona","7649","898",
"1400000US04013061055","Census Tract 610.55; Maricopa County; Arizona","5797","950",
"1400000US04013061056","Census Tract 610.56; Maricopa County; Arizona","3939","808",
"1400000US04013061057","Census Tract 610.57; Maricopa County; Arizona","3591","449",
"1400000US04013061058","Census Tract 610.58; Maricopa County; Arizona","3602","541",
"1400000US04013061059","Census Tract 610.59; Maricopa County; Arizona","5397","1183",
"1400000US04013061060","Census Tract 610.60; Maricopa County; Arizona","2864","406",
"1400000US04013061061","Census Tract 610.61; Maricopa County; Arizona","5088","895",
"1400000US04013061062","Census Tract 610.62; Maricopa County; Arizona","7662","1025",
"1400000US04013061063","Census Tract 610.63; Maricopa County; Arizona","1503","164",
"1400000US04013061064","Census Tract 610.64; Maricopa County; Arizona","3169","457",
"1400000US04013061100","Census Tract 611; Maricopa County; Arizona","2802","305",
"1400000US04013061200","Census Tract 612; Maricopa County; Arizona","6228","1114",
"1400000US04013061300","Census Tract 613; Maricopa County; Arizona","2390","468",
"1400000US04013061401","Census Tract 614.01; Maricopa County; Arizona","2053","415",
"1400000US04013061402","Census Tract 614.02; Maricopa County; Arizona","5969","729",
"1400000US04013071503","Census Tract 715.03; Maricopa County; Arizona","4521","525",
"1400000US04013071504","Census Tract 715.04; Maricopa County; Arizona","3287","439",
"1400000US04013071505","Census Tract 715.05; Maricopa County; Arizona","6520","710",
"1400000US04013071506","Census Tract 715.06; Maricopa County; Arizona","4250","679",
"1400000US04013071509","Census Tract 715.09; Maricopa County; Arizona","5613","594",
"1400000US04013071510","Census Tract 715.10; Maricopa County; Arizona","4338","543",
"1400000US04013071511","Census Tract 715.11; Maricopa County; Arizona","4111","731",
"1400000US04013071512","Census Tract 715.12; Maricopa County; Arizona","6241","1174",
"1400000US04013071513","Census Tract 715.13; Maricopa County; Arizona","1634","152",
"1400000US04013071514","Census Tract 715.14; Maricopa County; Arizona","4382","873",
"1400000US04013071515","Census Tract 715.15; Maricopa County; Arizona","3840","631",
"1400000US04013071516","Census Tract 715.16; Maricopa County; Arizona","4251","758",
"1400000US04013071517","Census Tract 715.17; Maricopa County; Arizona","3810","515",
"1400000US04013071600","Census Tract 716; Maricopa County; Arizona","3834","389",
"1400000US04013071701","Census Tract 717.01; Maricopa County; Arizona","3356","387",
"1400000US04013071702","Census Tract 717.02; Maricopa County; Arizona","3081","394",
"1400000US04013071801","Census Tract 718.01; Maricopa County; Arizona","4820","734",
"1400000US04013071802","Census Tract 718.02; Maricopa County; Arizona","3222","460",
"1400000US04013071903","Census Tract 719.03; Maricopa County; Arizona","6537","949",
"1400000US04013071906","Census Tract 719.06; Maricopa County; Arizona","5674","686",
"1400000US04013071909","Census Tract 719.09; Maricopa County; Arizona","3799","362",
"1400000US04013071910","Census Tract 719.10; Maricopa County; Arizona","7073","1002",
"1400000US04013071911","Census Tract 719.11; Maricopa County; Arizona","3637","544",
"1400000US04013071912","Census Tract 719.12; Maricopa County; Arizona","3270","754",
"1400000US04013071913","Census Tract 719.13; Maricopa County; Arizona","6348","1245",
"1400000US04013071914","Census Tract 719.14; Maricopa County; Arizona","3198","371",
"1400000US04013071915","Census Tract 719.15; Maricopa County; Arizona","3540","522",
"1400000US04013082002","Census Tract 820.02; Maricopa County; Arizona","6737","1199",
"1400000US04013082007","Census Tract 820.07; Maricopa County; Arizona","4042","500",
"1400000US04013082008","Census Tract 820.08; Maricopa County; Arizona","5249","857",
"1400000US04013082009","Census Tract 820.09; Maricopa County; Arizona","4927","764",
"1400000US04013082010","Census Tract 820.10; Maricopa County; Arizona","5702","1435",
"1400000US04013082012","Census Tract 820.12; Maricopa County; Arizona","6824","857",
"1400000US04013082016","Census Tract 820.16; Maricopa County; Arizona","4197","720",
"1400000US04013082017","Census Tract 820.17; Maricopa County; Arizona","5875","728",
"1400000US04013082018","Census Tract 820.18; Maricopa County; Arizona","5203","923",
"1400000US04013082019","Census Tract 820.19; Maricopa County; Arizona","2355","281",
"1400000US04013082020","Census Tract 820.20; Maricopa County; Arizona","4659","804",
"1400000US04013082021","Census Tract 820.21; Maricopa County; Arizona","2441","350",
"1400000US04013082022","Census Tract 820.22; Maricopa County; Arizona","5493","1202",
"1400000US04013082023","Census Tract 820.23; Maricopa County; Arizona","5889","629",
"1400000US04013082024","Census Tract 820.24; Maricopa County; Arizona","4545","464",
"1400000US04013082025","Census Tract 820.25; Maricopa County; Arizona","3415","607",
"1400000US04013082026","Census Tract 820.26; Maricopa County; Arizona","7417","780",
"1400000US04013082027","Census Tract 820.27; Maricopa County; Arizona","6225","774",
"1400000US04013082028","Census Tract 820.28; Maricopa County; Arizona","4316","817",
"1400000US04013082204","Census Tract 822.04; Maricopa County; Arizona","7727","952",
"1400000US04013082205","Census Tract 822.05; Maricopa County; Arizona","6702","828",
"1400000US04013082206","Census Tract 822.06; Maricopa County; Arizona","4373","293",
"1400000US04013082207","Census Tract 822.07; Maricopa County; Arizona","3673","478",
"1400000US04013082208","Census Tract 822.08; Maricopa County; Arizona","3626","396",
"1400000US04013082209","Census Tract 822.09; Maricopa County; Arizona","2870","586",
"1400000US04013082210","Census Tract 822.10; Maricopa County; Arizona","5124","843",
"1400000US04013082211","Census Tract 822.11; Maricopa County; Arizona","8054","1612",
"1400000US04013082212","Census Tract 822.12; Maricopa County; Arizona","6824","1689",
"1400000US04013082213","Census Tract 822.13; Maricopa County; Arizona","6818","1216",
"1400000US04013083000","Census Tract 830; Maricopa County; Arizona","7233","15",
"1400000US04013092305","Census Tract 923.05; Maricopa County; Arizona","5158","914",
"1400000US04013092306","Census Tract 923.06; Maricopa County; Arizona","5611","533",
"1400000US04013092307","Census Tract 923.07; Maricopa County; Arizona","6245","994",
"1400000US04013092308","Census Tract 923.08; Maricopa County; Arizona","6980","833",
"1400000US04013092309","Census Tract 923.09; Maricopa County; Arizona","5891","990",
"1400000US04013092311","Census Tract 923.11; Maricopa County; Arizona","2679","363",
"1400000US04013092312","Census Tract 923.12; Maricopa County; Arizona","6651","1089",
"1400000US04013092401","Census Tract 924.01; Maricopa County; Arizona","3937","431",
"1400000US04013092402","Census Tract 924.02; Maricopa County; Arizona","3505","568",
"1400000US04013092500","Census Tract 925; Maricopa County; Arizona","4656","673",
"1400000US04013092600","Census Tract 926; Maricopa County; Arizona","3307","509",
"1400000US04013092705","Census Tract 927.05; Maricopa County; Arizona","4684","843",
"1400000US04013092708","Census Tract 927.08; Maricopa County; Arizona","1898","277",
"1400000US04013092709","Census Tract 927.09; Maricopa County; Arizona","4566","797",
"1400000US04013092710","Census Tract 927.10; Maricopa County; Arizona","5638","799",
"1400000US04013092711","Census Tract 927.11; Maricopa County; Arizona","3720","580",
"1400000US04013092712","Census Tract 927.12; Maricopa County; Arizona","4933","780",
"1400000US04013092713","Census Tract 927.13; Maricopa County; Arizona","5123","983",
"1400000US04013092715","Census Tract 927.15; Maricopa County; Arizona","4882","680",
"1400000US04013092716","Census Tract 927.16; Maricopa County; Arizona","3957","371",
"1400000US04013092717","Census Tract 927.17; Maricopa County; Arizona","6379","1070",
"1400000US04013092718","Census Tract 927.18; Maricopa County; Arizona","4555","890",
"1400000US04013092719","Census Tract 927.19; Maricopa County; Arizona","5391","579",
"1400000US04013092720","Census Tract 927.20; Maricopa County; Arizona","8242","1251",
"1400000US04013092721","Census Tract 927.21; Maricopa County; Arizona","4018","395",
"1400000US04013092723","Census Tract 927.23; Maricopa County; Arizona","4349","504",
"1400000US04013092724","Census Tract 927.24; Maricopa County; Arizona","4883","809",
"1400000US04013092801","Census Tract 928.01; Maricopa County; Arizona","5949","1098",
"1400000US04013092802","Census Tract 928.02; Maricopa County; Arizona","5711","885",
"1400000US04013092900","Census Tract 929; Maricopa County; Arizona","3517","498",
"1400000US04013093001","Census Tract 930.01; Maricopa County; Arizona","6140","1396",
"1400000US04013093002","Census Tract 930.02; Maricopa County; Arizona","4199","903",
"1400000US04013093101","Census Tract 931.01; Maricopa County; Arizona","5750","1213",
"1400000US04013093104","Census Tract 931.04; Maricopa County; Arizona","5301","715",
"1400000US04013093105","Census Tract 931.05; Maricopa County; Arizona","5340","890",
"1400000US04013093106","Census Tract 931.06; Maricopa County; Arizona","4169","593",
"1400000US04013093200","Census Tract 932; Maricopa County; Arizona","4743","604",
"1400000US04013103205","Census Tract 1032.05; Maricopa County; Arizona","2447","248",
"1400000US04013103206","Census Tract 1032.06; Maricopa County; Arizona","2284","204",
"1400000US04013103207","Census Tract 1032.07; Maricopa County; Arizona","2215","290",
"1400000US04013103208","Census Tract 1032.08; Maricopa County; Arizona","3756","521",
"1400000US04013103209","Census Tract 1032.09; Maricopa County; Arizona","4961","951",
"1400000US04013103210","Census Tract 1032.10; Maricopa County; Arizona","7951","966",
"1400000US04013103211","Census Tract 1032.11; Maricopa County; Arizona","4744","705",
"1400000US04013103212","Census Tract 1032.12; Maricopa County; Arizona","4343","564",
"1400000US04013103214","Census Tract 1032.14; Maricopa County; Arizona","3814","567",
"1400000US04013103215","Census Tract 1032.15; Maricopa County; Arizona","3064","346",
"1400000US04013103216","Census Tract 1032.16; Maricopa County; Arizona","5584","801",
"1400000US04013103217","Census Tract 1032.17; Maricopa County; Arizona","5629","816",
"1400000US04013103219","Census Tract 1032.19; Maricopa County; Arizona","3811","402",
"1400000US04013103220","Census Tract 1032.20; Maricopa County; Arizona","2820","357",
"1400000US04013103302","Census Tract 1033.02; Maricopa County; Arizona","6028","936",
"1400000US04013103303","Census Tract 1033.03; Maricopa County; Arizona","3923","456",
"1400000US04013103304","Census Tract 1033.04; Maricopa County; Arizona","4406","612",
"1400000US04013103305","Census Tract 1033.05; Maricopa County; Arizona","3732","750",
"1400000US04013103306","Census Tract 1033.06; Maricopa County; Arizona","4194","845",
"1400000US04013103400","Census Tract 1034; Maricopa County; Arizona","4237","317",
"1400000US04013103501","Census Tract 1035.01; Maricopa County; Arizona","3085","395",
"1400000US04013103502","Census Tract 1035.02; Maricopa County; Arizona","6213","748",
"1400000US04013103604","Census Tract 1036.04; Maricopa County; Arizona","4238","660",
"1400000US04013103605","Census Tract 1036.05; Maricopa County; Arizona","6041","1027",
"1400000US04013103606","Census Tract 1036.06; Maricopa County; Arizona","4852","1181",
"1400000US04013103607","Census Tract 1036.07; Maricopa County; Arizona","4233","457",
"1400000US04013103608","Census Tract 1036.08; Maricopa County; Arizona","4338","443",
"1400000US04013103609","Census Tract 1036.09; Maricopa County; Arizona","6183","1345",
"1400000US04013103611","Census Tract 1036.11; Maricopa County; Arizona","5034","447",
"1400000US04013103612","Census Tract 1036.12; Maricopa County; Arizona","5643","864",
"1400000US04013103614","Census Tract 1036.14; Maricopa County; Arizona","3032","345",
"1400000US04013103615","Census Tract 1036.15; Maricopa County; Arizona","5530","791",
"1400000US04013103701","Census Tract 1037.01; Maricopa County; Arizona","4947","692",
"1400000US04013103702","Census Tract 1037.02; Maricopa County; Arizona","3557","731",
"1400000US04013103900","Census Tract 1039; Maricopa County; Arizona","6528","984",
"1400000US04013104000","Census Tract 1040; Maricopa County; Arizona","7438","1242",
"1400000US04013104100","Census Tract 1041; Maricopa County; Arizona","7448","957",
"1400000US04013104202","Census Tract 1042.02; Maricopa County; Arizona","4995","522",
"1400000US04013104203","Census Tract 1042.03; Maricopa County; Arizona","7374","1343",
"1400000US04013104204","Census Tract 1042.04; Maricopa County; Arizona","3053","455",
"1400000US04013104205","Census Tract 1042.05; Maricopa County; Arizona","6919","1018",
"1400000US04013104206","Census Tract 1042.06; Maricopa County; Arizona","3987","530",
"1400000US04013104207","Census Tract 1042.07; Maricopa County; Arizona","4402","596",
"1400000US04013104212","Census Tract 1042.12; Maricopa County; Arizona","6424","1070",
"1400000US04013104214","Census Tract 1042.14; Maricopa County; Arizona","2304","332",
"1400000US04013104215","Census Tract 1042.15; Maricopa County; Arizona","4281","423",
"1400000US04013104216","Census Tract 1042.16; Maricopa County; Arizona","4606","776",
"1400000US04013104217","Census Tract 1042.17; Maricopa County; Arizona","5217","704",
"1400000US04013104218","Census Tract 1042.18; Maricopa County; Arizona","3921","437",
"1400000US04013104219","Census Tract 1042.19; Maricopa County; Arizona","4232","1026",
"1400000US04013104221","Census Tract 1042.21; Maricopa County; Arizona","5417","473",
"1400000US04013104222","Census Tract 1042.22; Maricopa County; Arizona","6961","1392",
"1400000US04013104223","Census Tract 1042.23; Maricopa County; Arizona","2197","394",
