shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
00022,33.567186,-112.069077,10001
00022,33.567186,-112.068523,10002
00022,33.567183,-112.068477,10003
00022,33.567169,-112.068419,10004
00022,33.567138,-112.068384,10005
00022,33.567098,-112.068373,10006
00022,33.567049,-112.068377,10007
00022,33.567017,-112.068393,10008
00022,33.566993,-112.068419,10009
00022,33.566977,-112.068457,10010
00022,33.566973,-112.068527,10011
00022,33.566972,-112.069564,10012
00022,33.567187,-112.069564,10013
00022,33.567753,-112.069564,10014
00022,33.567749,-112.070635,10015
00022,33.567745,-112.071734,10016
00022,33.567744,-112.072772,10017
00022,33.567740,-112.073904,10018
00022,33.567286,-112.073904,10019
00022,33.567286,-112.073904,20001
00022,33.565920,-112.073904,20002
00022,33.564106,-112.073904,20003
00022,33.563616,-112.073905,20004
00022,33.563616,-112.073905,30001
00022,33.562883,-112.073905,30002
00022,33.562342,-112.073905,30003
00022,33.562251,-112.073891,30004
00022,33.561987,-112.073904,30005
00022,33.560974,-112.073904,30006
00022,33.560974,-112.073904,40001
00022,33.560407,-112.073904,40002
00022,33.559734,-112.073906,40003
00022,33.559140,-112.073905,40004
00022,33.557403,-112.073915,40005
00022,33.556807,-112.073908,40006
00022,33.556606,-112.073907,40007
00022,33.556441,-112.073908,40008
00022,33.556441,-112.073908,50001
00022,33.555999,-112.073909,50002
00022,33.555680,-112.073909,50003
00022,33.554971,-112.073898,50004
00022,33.554262,-112.073916,50005
00022,33.553833,-112.073909,50006
00022,33.553250,-112.073911,50007
00022,33.552811,-112.073910,50008
00022,33.552523,-112.073907,50009
00022,33.552523,-112.073907,60001
00022,33.551329,-112.073894,60002
00022,33.550450,-112.073886,60003
00022,33.549603,-112.073875,60004
00022,33.549120,-112.073871,60005
00022,33.548892,-112.073868,60006
00022,33.548892,-112.073868,70001
00022,33.548707,-112.073867,70002
00022,33.547792,-112.073855,70003
00022,33.547350,-112.073851,70004
00022,33.546498,-112.073840,70005
00022,33.545547,-112.073831,70006
00022,33.545258,-112.073828,70007
00022,33.545258,-112.073828,80001
00022,33.544217,-112.073816,80002
00022,33.543263,-112.073804,80003
00022,33.542499,-112.073796,80004
00022,33.541966,-112.073789,80005
00022,33.541907,-112.073788,80006
00022,33.541907,-112.073788,90001
00022,33.541540,-112.073785,90002
00022,33.541106,-112.073781,90003
00022,33.540256,-112.073773,90004
00022,33.539726,-112.073768,90005
00022,33.538308,-112.073749,90006
00022,33.537959,-112.073749,90007
00022,33.537959,-112.073749,100001
00022,33.536659,-112.073746,100002
00022,33.536351,-112.073746,100003
00022,33.535551,-112.073744,100004
00022,33.535059,-112.073740,100005
00022,33.534664,-112.073740,100006
00022,33.534205,-112.073739,100007
00022,33.533846,-112.073738,100008
00022,33.533846,-112.073738,110001
00022,33.533188,-112.073737,110002
00022,33.532751,-112.073739,110003
00022,33.531019,-112.073730,110004
00022,33.530726,-112.073729,110005
00022,33.530726,-112.073729,120001
00022,33.530129,-112.073728,120002
00022,33.529648,-112.073727,120003
00022,33.528790,-112.073722,120004
00022,33.527850,-112.073721,120005
00022,33.527652,-112.073720,120006
00022,33.527652,-112.073720,130001
00022,33.527444,-112.073720,130002
00022,33.527053,-112.073719,130003
00022,33.526795,-112.073719,130004
00022,33.525498,-112.073713,130005
00022,33.523788,-112.073710,130006
00022,33.523393,-112.073712,130007
00022,33.523393,-112.073712,140001
00022,33.520171,-112.073723,140002
00022,33.519864,-112.073723,140003
00022,33.519352,-112.073725,140004
00022,33.519352,-112.073725,150001
00022,33.518830,-112.073727,150002
00022,33.517956,-112.073729,150003
00022,33.516541,-112.073733,150004
00022,33.515787,-112.073736,150005
00022,33.515787,-112.073736,160001
00022,33.514719,-112.073740,160002
00022,33.514237,-112.073742,160003
00022,33.514237,-112.073742,170001
00022,33.513812,-112.073744,170002
00022,33.513339,-112.073747,170003
00022,33.512905,-112.073746,170004
00022,33.512576,-112.073748,170005
00022,33.512576,-112.073748,180001
00022,33.512045,-112.073751,180002
00022,33.511726,-112.073751,180003
00022,33.511162,-112.073753,180004
00022,33.510527,-112.073755,180005
00022,33.509282,-112.073759,180006
00022,33.508848,-112.073822,180007
00022,33.508848,-112.073822,190001
00022,33.508389,-112.073889,190002
00022,33.508339,-112.073889,190003
00022,33.507463,-112.073890,190004
00022,33.507054,-112.073884,190005
00022,33.507054,-112.073884,200001
00022,33.505704,-112.073861,200002
00022,33.505341,-112.073865,200003
00022,33.505341,-112.073865,210001
00022,33.504734,-112.073872,210002
00022,33.504371,-112.073865,210003
00022,33.503907,-112.073878,210004
00022,33.503354,-112.073896,210005
00022,33.502040,-112.073917,210006
00022,33.501470,-112.073914,210007
00022,33.501470,-112.073914,220001
00022,33.500218,-112.073907,220002
00022,33.497937,-112.073922,220003
00022,33.497667,-112.073927,220004
00022,33.497667,-112.073927,230001
00022,33.496604,-112.073943,230002
00022,33.494796,-112.073923,230003
00022,33.494338,-112.073925,230004
00022,33.494338,-112.073925,240001
00022,33.492361,-112.073932,240002
00022,33.491679,-112.073932,240003
00022,33.491679,-112.073932,250001
00022,33.490750,-112.073932,250002
00022,33.489673,-112.073914,250003
00022,33.489179,-112.073918,250004
00022,33.489179,-112.073918,260001
00022,33.487518,-112.073930,260002
00022,33.486522,-112.073928,260003
00022,33.486522,-112.073928,270001
00022,33.485256,-112.073926,270002
00022,33.483871,-112.073920,270003
00022,33.483407,-112.073915,270004
00022,33.483407,-112.073915,280001
00022,33.482225,-112.073901,280002
00022,33.481216,-112.073886,280003
00022,33.480240,-112.073913,280004
00022,33.479892,-112.073932,280005
00022,33.479892,-112.073932,290001
00022,33.479336,-112.073961,290002
00022,33.477583,-112.073941,290003
00022,33.476610,-112.073953,290004
00022,33.476055,-112.073937,290005
00022,33.476055,-112.073937,300001
00022,33.475730,-112.073928,300002
00022,33.474845,-112.073933,300003
00022,33.473963,-112.073938,300004
00022,33.472935,-112.073930,300005
00022,33.472534,-112.073923,300006
00022,33.472534,-112.073923,310001
00022,33.471764,-112.073911,310002
00022,33.470616,-112.073916,310003
00022,33.469409,-112.073956,310004
00022,33.468986,-112.073944,310005
00022,33.468986,-112.073944,320001
00022,33.468301,-112.073925,320002
00022,33.465732,-112.073956,320003
00022,33.465168,-112.073955,320004
00022,33.465168,-112.073955,330001
00022,33.464676,-112.073954,330002
00022,33.464151,-112.073910,330003
00022,33.463525,-112.073905,330004
00022,33.463007,-112.073904,330005
00022,33.462464,-112.073907,330006
00022,33.462046,-112.073916,330007
00022,33.461813,-112.073948,330008
00022,33.461564,-112.073960,330009
00022,33.461284,-112.073943,330010
00022,33.460905,-112.073917,330011
00022,33.460498,-112.073906,330012
00022,33.460099,-112.073912,330013
00022,33.459871,-112.073931,330014
00022,33.459679,-112.073983,330015
00022,33.459380,-112.074108,330016
00022,33.459033,-112.074308,330017
00022,33.458942,-112.074368,330018
00022,33.458942,-112.074368,340001
00022,33.458867,-112.074418,340002
00022,33.458606,-112.074647,340003
00022,33.458428,-112.074802,340004
00022,33.458224,-112.074970,340005
00022,33.458088,-112.075067,340006
00022,33.457958,-112.075119,340007
00022,33.457814,-112.075160,340008
00022,33.457619,-112.075179,340009
00022,33.456900,-112.075175,340010
00022,33.456897,-112.075175,340011
00022,33.456688,-112.075177,340012
00022,33.455866,-112.075186,340013
00022,33.454700,-112.075192,340014
00022,33.454436,-112.075193,340015
00022,33.454369,-112.075192,340016
00022,33.454369,-112.075192,350001
00022,33.452847,-112.075164,350002
00022,33.452390,-112.075169,350003
00022,33.451724,-112.075175,350004
00022,33.451385,-112.075171,350005
00022,33.451383,-112.074600,350006
00022,33.451379,-112.073813,350007
00022,33.451710,-112.073817,350008
00022,33.452402,-112.073802,350009
00022,33.452521,-112.073799,350010
00022,33.452903,-112.073790,350011
00025,33.452903,-112.073790,10001
00025,33.453139,-112.073784,10002
00025,33.454132,-112.073769,10003
00025,33.454501,-112.073770,10004
00025,33.454680,-112.073770,10005
00025,33.455058,-112.073771,10006
00025,33.455058,-112.073771,20001
00025,33.455472,-112.073772,20002
00025,33.455568,-112.073773,20003
00025,33.456342,-112.073789,20004
00025,33.456630,-112.073790,20005
00025,33.456942,-112.073790,20006
00025,33.456949,-112.073790,20007
00025,33.456949,-112.073790,30001
00025,33.457634,-112.073784,30002
00025,33.458640,-112.073775,30003
00025,33.458792,-112.073774,30004
00025,33.459277,-112.073755,30005
00025,33.459277,-112.073755,40001
00025,33.460018,-112.073727,40002
00025,33.460503,-112.073719,40003
00025,33.460981,-112.073710,40004
00025,33.461320,-112.073691,40005
00025,33.461621,-112.073669,40006
00025,33.461811,-112.073676,40007
00025,33.462049,-112.073705,40008
00025,33.462266,-112.073725,40009
00025,33.463191,-112.073727,40010
00025,33.463191,-112.073727,50001
00025,33.463321,-112.073727,50002
00025,33.463973,-112.073694,50003
00025,33.465729,-112.073664,50004
00025,33.466156,-112.073671,50005
00025,33.466156,-112.073671,60001
00025,33.468189,-112.073705,60002
00025,33.469398,-112.073658,60003
00025,33.469692,-112.073662,60004
00025,33.469692,-112.073662,70001
00025,33.471130,-112.073684,70002
00025,33.472933,-112.073661,70003
00025,33.473356,-112.073678,70004
00025,33.473356,-112.073678,80001
00025,33.473532,-112.073685,80002
00025,33.474381,-112.073693,80003
00025,33.475258,-112.073701,80004
00025,33.476124,-112.073706,80005
00025,33.476607,-112.073700,80006
00025,33.477391,-112.073695,80007
00025,33.477391,-112.073695,90001
00025,33.478836,-112.073685,90002
00025,33.480241,-112.073645,90003
00025,33.480886,-112.073643,90004
00025,33.480886,-112.073643,100001
00025,33.482055,-112.073641,100002
00025,33.483871,-112.073674,100003
00025,33.484404,-112.073681,100004
00025,33.484404,-112.073681,110001
00025,33.485254,-112.073693,110002
00025,33.486246,-112.073665,110003
00025,33.487516,-112.073645,110004
00025,33.488224,-112.073660,110005
00025,33.488224,-112.073660,120001
00025,33.488703,-112.073670,120002
00025,33.489673,-112.073688,120003
00025,33.490169,-112.073685,120004
00025,33.490169,-112.073685,130001
00025,33.490643,-112.073683,130002
00025,33.491146,-112.073690,130003
00025,33.492361,-112.073689,130004
00025,33.492809,-112.073683,130005
00025,33.492809,-112.073683,140001
00025,33.494790,-112.073654,140002
00025,33.495355,-112.073660,140003
00025,33.495355,-112.073660,150001
00025,33.497962,-112.073686,150002
