stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,jurisdiction,equipment
1014,14968,Baseline Rd & Dobson Rd,EB Baseline Rd & FS Dobson Rd,33.378382,-111.877068,,,0,,,Mesa,
1017,18871,Baseline Rd & Longmore,EB Baseline Rd & FS Longmore,33.378498,-111.868382,,,0,,,Mesa,
1018,18870,Baseline Rd & Pennington,EB Baseline Rd & FS Pennington,33.37847,-111.872707,,,0,,,Mesa,
1021,18872,Baseline Rd & Rogers,EB Baseline Rd & FS Rogers,33.378595,-111.863466,,,0,,,Mesa,
1090,13122,Broadway Rd & Alma School Rd,EB Broadway Rd & FS Alma School Rd,33.407476,-111.856107,,,0,,,Mesa,
1092,13126,Broadway Rd & Country Club Dr,EB Broadway Rd & FS Country Club Dr,33.407756,-111.839479,,,0,,,Mesa,
1094,13125,Broadway Rd & Date,EB Broadway Rd & FS Date,33.407679,-111.84406,,,0,,,Mesa,
1095,13118,Broadway Rd & Dobson Rd,EB Broadway Rd & FS Dobson Rd,33.407404,-111.873629,,,0,,,Mesa,
1096,13113,Broadway Rd & El Dorado,EB Broadway Rd & FS El Dorado,33.407379,-111.886773,,,0,,,Mesa,
1097,13124,Broadway Rd & Extension Rd,EB Broadway Rd & FS Extension Rd,33.407626,-111.848003,,,0,,,Mesa,
1100,13120,Broadway Rd & Longmore,EB Broadway Rd & FS Longmore,33.407483,-111.865186,,,0,,,Mesa,
1101,13128,Broadway Rd & MacDonald,EB Broadway Rd & FS MacDonald,33.407735,-111.83375,,,0,,,Mesa,
1104,13127,Broadway Rd & Robson,EB Broadway Rd & FS Robson,33.407769,-111.836447,,,0,,,Mesa,
1106,13114,Broadway Rd & Roosevelt Rd,EB Broadway Rd & FS Roosevelt Rd,33.407394,-111.882874,,,0,,,Mesa,
1107,13119,Broadway Rd & Saguaro,EB Broadway Rd & FS Saguaro,33.407486,-111.867658,,,0,,,Mesa,
1108,13121,Broadway Rd & Standage,EB Broadway Rd & FS Standage,33.407507,-111.860758,,,0,,,Mesa,
1111,13115,Broadway Rd & 2145 West,EB Broadway Rd & AT 2145 West,33.407433,-111.878313,,,0,,,Mesa,
1114,13123,Broadway Rd & Westwood,EB Broadway Rd & NS Westwood,33.407571,-111.852828,,,0,,,Mesa,
124,13140,Broadway Rd & Chestnut,EB Broadway Rd & FS Chestnut,33.408016,-111.783372,,,0,,,Mesa,
126,13152,Broadway Rd & 48th St,EB Broadway Rd & FS 48th St,33.408229,-111.727793,,,0,,,Mesa,
13,17376,Rio Salado Pkwy & Alma School Rd,EB Rio Salado Pkwy & FS Alma School Rd,33.429306,-111.855618,,,0,,,Mesa,
133,15296,Broadway Rd & 24th St,EB Broadway Rd & FS 24th St,33.408017,-111.779443,,,0,,,Mesa,
138,13144,Broadway Rd & 31st St,EB Broadway Rd & FS 31st St,33.408078,-111.764139,,,0,,,Mesa,
14,17377,Rio Salado Pkwy & Westwood,EB Rio Salado Pkwy & FS Westwood,33.429373,-111.851746,,,0,,,Mesa,
1463,15916,Main St & Alma School Rd,EB Main St & FS Alma School Rd,33.414725,-111.856115,,,0,,,Mesa,
1464,18860,Main St & Dobson Rd,EB Main St & FS Dobson Rd,33.414635,-111.873739,,,0,,,Mesa,
1465,12536,Main St & Extension Rd,EB Main St & FS Extension Rd,33.4149,-111.847894,,,0,,,Mesa,
1468,18382,Main St & MacDonald,EB Main St & FS MacDonald,33.41497,-111.833369,,,0,,,Mesa,
1471,12534,Main St & Stewart,EB Main St & FS Stewart,33.414739,-111.859206,,,0,,,Mesa,
1472,12532,Main St & Sycamore,EB Main St & FS Sycamore,33.414689,-111.869661,,,0,place_SYMA1,,Mesa,
1473,12535,Main St & 1007 West,EB Main St & AT 1007 West,33.414828,-111.852446,,,0,,,Mesa,
1477,12537,Main St & Date,EB Main St & FS Date,33.414964,-111.843639,,,0,,,Mesa,
1517,15951,McKellips Rd & Country Club Dr,EB McKellips Rd & FS Country Club Dr,33.451298,-111.839269,,,0,,,Mesa,
152,13146,Broadway Rd & Almar,EB Broadway Rd & FS Almar,33.408102,-111.759564,,,0,,,Mesa,
153,13137,Broadway Rd & Barkley,EB Broadway Rd & FS Barkley,33.407869,-111.799028,,,0,,,Mesa,
155,13129,Broadway Rd & Center St,EB Broadway Rd & FS Center St,33.407741,-111.831211,,,0,,,Mesa,
162,13139,Broadway Rd & Gilbert Rd,EB Broadway Rd & FS Gilbert Rd,33.407929,-111.78768,,,0,,,Mesa,
1628,13988,Southern Av & MacDonald,EB Southern Av & FS MacDonald,33.393219,-111.83478,,,0,,,Mesa,
1629,13979,Southern Av & Sycamore,EB Southern Av & NS Sycamore,33.392889,-111.870657,,,0,,,Mesa,
163,13150,Broadway Rd & Greenfield Rd,EB Broadway Rd & FS Greenfield Rd,33.408152,-111.735849,,,0,,,Mesa,
164,13154,Broadway Rd & Higley Rd,EB Broadway Rd & FS Higley Rd,33.408202,-111.718343,,,0,,,Mesa,
1640,13983,Southern Av & Alma School Rd,EB Southern Av & FS Alma School Rd,33.392937,-111.856493,,,0,,,Mesa,
1641,13989,Southern Av & Center St,EB Southern Av & FS Center St,33.393225,-111.831,,,0,,,Mesa,
1643,13987,Southern Av & Country Club Dr,EB Southern Av & FS Country Club Dr,33.393162,-111.839104,,,0,,,Mesa,
1644,18605,Southern Av & Dobson Rd,EB Southern Av & FS Dobson Rd,33.392913,-111.873994,,,0,,,Mesa,
1645,13985,Southern Av & Extension Rd,EB Southern Av & FS Extension Rd,33.39308,-111.848096,,,0,,,Mesa,
1647,13981,Southern Av & Longmore,EB Southern Av & FS Longmore,33.392936,-111.863271,,,0,,,Mesa,
165,13133,Broadway Rd & Olive,EB Broadway Rd & FS Olive,33.407721,-111.816569,,,0,,,Mesa,
1652,13977,Southern Av & San Jose,EB Southern Av & FS San Jose,33.392932,-111.877655,,,0,,,Mesa,
1653,13982,Southern Av & Stewart,EB Southern Av & FS Stewart,33.39296,-111.859882,,,0,,,Mesa,
1654,13986,Southern Av & Vineyard,EB Southern Av & FS Vineyard,33.393154,-111.842085,,,0,,,Mesa,
1656,13984,Southern Av & Westwood,EB Southern Av & FS Westwood,33.393,-111.852465,,,0,,,Mesa,
166,13134,Broadway Rd & Horne,EB Broadway Rd & FS Horne,33.407753,-111.813766,,,0,,,Mesa,
167,13130,Broadway Rd & Lewis,EB Broadway Rd & FS Lewis,33.407735,-111.829481,,,0,,,Mesa,
168,13143,Broadway Rd & Lindsay Rd,EB Broadway Rd & FS Lindsay Rd,33.40797,-111.770327,,,0,,,Mesa,
170,18659,Broadway Rd & Maple,EB Broadway Rd & FS Maple,33.408152,-111.747744,,,0,,,Mesa,
172,13132,Broadway Rd & Mesa Dr,EB Broadway Rd & FS Mesa Dr,33.407687,-111.822049,,,0,,,Mesa,
174,13149,Broadway Rd & Norwalk,EB Broadway Rd & FS Norwalk,33.408149,-111.74259,,,0,,,Mesa,
176,13151,Broadway Rd & Quinn,EB Broadway Rd & FS Quinn,33.408202,-111.73174,,,0,,,Mesa,
177,13153,Broadway Rd & Racine,EB Broadway Rd & FS Racine,33.408255,-111.724275,,,0,,,Mesa,
1776,12084,University Dr & Alma School Rd,EB University Dr & FS Alma School Rd,33.421963,-111.855873,,,0,,,Mesa,
1777,12088,University Dr & Country Club Dr,EB University Dr & FS Country Club Dr,33.422232,-111.839421,,,0,,,Mesa,
1778,12081,University Dr & Dobson Rd,EB University Dr & FS Dobson Rd,33.421998,-111.873973,,,0,,,Mesa,
1780,12087,University Dr & Hosick,EB University Dr & FS Hosick,33.422202,-111.844878,,,0,,,Mesa,
1781,12082,University Dr & Longmore,EB University Dr & FS Longmore,33.422029,-111.864736,,,0,,,Mesa,
1782,12090,University Dr & MacDonald,EB University Dr & FS MacDonald,33.422242,-111.833612,,,0,,,Mesa,
1783,12089,University Dr & Robson,EB University Dr & FS Robson,33.422223,-111.836207,,,0,,,Mesa,
1784,12083,University Dr & Standage,EB University Dr & FS Standage,33.422037,-111.860552,,,0,,,Mesa,
1786,12085,University Dr & Westwood,EB University Dr & FS Westwood,33.422104,-111.851779,,,0,,,Mesa,
1797,12086,University Dr & Extension Rd,EB University Dr & NS Extension Rd,33.422142,-111.8486,,,0,,,Mesa,
182,13135,Broadway Rd & Solomon,EB Broadway Rd & FS Solomon,33.407783,-111.809364,,,0,,,Mesa,
184,13136,Broadway Rd & Stapley Dr,EB Broadway Rd & FS Stapley Dr,33.407811,-111.804796,,,0,,,Mesa,
186,13155,Broadway Rd & Sunnyvale,EB Broadway Rd & FS Sunnyvale,33.408302,-111.714396,,,0,,,Mesa,
188,13147,Broadway Rd & Val Vista Dr,EB Broadway Rd & FS Val Vista Dr,33.408059,-111.752991,,,0,,,Mesa,
189,13131,Broadway Rd & Wilbur,EB Broadway Rd & FS Wilbur,33.407718,-111.824749,,,0,,,Mesa,
190,13142,Broadway Rd & Windsor,EB Broadway Rd & NS Windsor,33.40805,-111.775263,,,0,,,Mesa,
194,13138,Broadway Rd & Williams,EB Broadway Rd & NS Williams,33.407931,-111.795179,,,0,,,Mesa,
201,17381,Brown Rd & Country Club Dr,EB Brown Rd & FS Country Club Dr,33.435101,-111.839373,,,0,,,Mesa,
205,17382,Brown Rd & Grand,EB Brown Rd & FS Grand,33.434985,-111.835258,,,0,,,Mesa,
210,17380,Brown Rd & 525 West,EB Brown Rd & AT 525 West,33.435065,-111.842629,,,0,,,Mesa,
216,17399,Brown Rd & Mesa Dr,EB Brown Rd & NS Mesa Dr,33.435405,-111.823807,,,0,,,Mesa,
218,17383,Brown Rd & Center St,EB Brown Rd & NS Center St,33.434847,-111.832044,,,0,,,Mesa,
2713,15484,Alma School Rd & 6th Av,NB Alma School Rd & NS 6th Av,33.403232,-111.856725,,,0,,,Mesa,
2714,15488,Alma School Rd & 2nd St,NB Alma School Rd & FS 2nd St,33.418821,-111.856334,,,0,,,Mesa,
2715,15490,Alma School Rd & 7th St,NB Alma School Rd & FS 7th St,33.4271,-111.856156,,,0,,,Mesa,
2716,15483,Alma School Rd & 8th Av,NB Alma School Rd & FS 8th Av,33.400668,-111.856804,,,0,,,Mesa,
2717,15485,Alma School Rd & Broadway Rd,NB Alma School Rd & FS Broadway Rd,33.408049,-111.856497,,,0,,,Mesa,
2720,15482,Alma School Rd & Emerald Av,NB Alma School Rd & FS Emerald Av,33.397043,-111.856955,,,0,,,Mesa,
2724,15487,Alma School Rd & Main St,NB Alma School Rd & FS Main St,33.415386,-111.856411,,,0,,,Mesa,
2728,15481,Alma School Rd & Southern Av,NB Alma School Rd & FS Southern Av,33.39368,-111.856998,,,0,,,Mesa,
2730,15489,Alma School Rd & University Dr,NB Alma School Rd & FS University Dr,33.422533,-111.856248,,,0,,,Mesa,
2781,17396,Center St & 1st St,NB Center St & FS 1st St,33.417866,-111.831298,,,0,,,Mesa,
2783,17387,Center St & 6th St,NB Center St & FS 6th St,33.42596,-111.831323,,,0,,,Mesa,
2784,17388,Center St & 8th St,NB Center St & FS 8th St,33.430035,-111.831201,,,0,,,Mesa,
